sample_id,video_id,split,video_path,n_map_frames,n_fixation_frames,mean_map_intensity,peak_map_intensity,peak_to_mean_map_ratio,mean_map_concentration,mean_fixation_density,selected_tail,source_video_path,modal_media_found,modal_media_size_bytes
dhf1k_034,034,train,/bmd-videos/attention_capture/DHF1K/video/034.AVI,484,484,,,,,0.0006165256977698492,low,data/attention_capture/DHF1K/video/034.AVI,True,3552704
dhf1k_035,035,train,/bmd-videos/attention_capture/DHF1K/video/035.AVI,625,625,,,,,0.0007929513896349818,high,data/attention_capture/DHF1K/video/035.AVI,True,4153888
dhf1k_036,036,train,/bmd-videos/attention_capture/DHF1K/video/036.AVI,546,546,,,,,0.0007929910098960719,high,data/attention_capture/DHF1K/video/036.AVI,True,4021642
dhf1k_037,037,train,/bmd-videos/attention_capture/DHF1K/video/037.AVI,434,434,,,,,0.0008762360805691722,high,data/attention_capture/DHF1K/video/037.AVI,True,3206834
dhf1k_038,038,train,/bmd-videos/attention_capture/DHF1K/video/038.AVI,1131,1131,,,,,0.0008365875824373529,high,data/attention_capture/DHF1K/video/038.AVI,True,7958590
dhf1k_041,041,train,/bmd-videos/attention_capture/DHF1K/video/041.AVI,488,488,,,,,0.000822055727991535,high,data/attention_capture/DHF1K/video/041.AVI,True,3850942
dhf1k_043,043,train,/bmd-videos/attention_capture/DHF1K/video/043.AVI,568,568,,,,,0.0006298675305541263,low,data/attention_capture/DHF1K/video/043.AVI,True,4069610
dhf1k_046,046,train,/bmd-videos/attention_capture/DHF1K/video/046.AVI,817,817,,,,,0.0008215396776536054,high,data/attention_capture/DHF1K/video/046.AVI,True,5526542
dhf1k_047,047,train,/bmd-videos/attention_capture/DHF1K/video/047.AVI,1018,1018,,,,,0.0007972766249063233,high,data/attention_capture/DHF1K/video/047.AVI,True,7044744
dhf1k_055,055,train,/bmd-videos/attention_capture/DHF1K/video/055.AVI,419,419,,,,,0.0008125020714664525,high,data/attention_capture/DHF1K/video/055.AVI,True,2902890
dhf1k_056,056,train,/bmd-videos/attention_capture/DHF1K/video/056.AVI,897,897,,,,,0.000582003669898348,low,data/attention_capture/DHF1K/video/056.AVI,True,6346864
dhf1k_057,057,train,/bmd-videos/attention_capture/DHF1K/video/057.AVI,659,659,,,,,0.000939989568708374,high,data/attention_capture/DHF1K/video/057.AVI,True,4729958
dhf1k_058,058,train,/bmd-videos/attention_capture/DHF1K/video/058.AVI,739,739,,,,,0.0006988317069974986,low,data/attention_capture/DHF1K/video/058.AVI,True,5166940
dhf1k_060,060,train,/bmd-videos/attention_capture/DHF1K/video/060.AVI,432,432,,,,,0.0008454198021489126,high,data/attention_capture/DHF1K/video/060.AVI,True,3235166
dhf1k_062,062,train,/bmd-videos/attention_capture/DHF1K/video/062.AVI,890,890,,,,,0.0006806287068214393,low,data/attention_capture/DHF1K/video/062.AVI,True,6417394
dhf1k_064,064,train,/bmd-videos/attention_capture/DHF1K/video/064.AVI,485,485,,,,,0.001002299901729296,high,data/attention_capture/DHF1K/video/064.AVI,True,3520026
dhf1k_067,067,train,/bmd-videos/attention_capture/DHF1K/video/067.AVI,944,944,,,,,0.000685888029199875,low,data/attention_capture/DHF1K/video/067.AVI,True,6813610
dhf1k_072,072,train,/bmd-videos/attention_capture/DHF1K/video/072.AVI,550,550,,,,,0.0006799558080489409,low,data/attention_capture/DHF1K/video/072.AVI,True,3970214
dhf1k_073,073,train,/bmd-videos/attention_capture/DHF1K/video/073.AVI,685,685,,,,,0.0008505803948424648,high,data/attention_capture/DHF1K/video/073.AVI,True,4757402
dhf1k_075,075,train,/bmd-videos/attention_capture/DHF1K/video/075.AVI,909,909,,,,,0.0008285537769872495,high,data/attention_capture/DHF1K/video/075.AVI,True,6207126
dhf1k_076,076,train,/bmd-videos/attention_capture/DHF1K/video/076.AVI,856,856,,,,,0.0008301846056069012,high,data/attention_capture/DHF1K/video/076.AVI,True,6135376
dhf1k_079,079,train,/bmd-videos/attention_capture/DHF1K/video/079.AVI,752,752,,,,,0.0006785377879962053,low,data/attention_capture/DHF1K/video/079.AVI,True,5406318
dhf1k_081,081,train,/bmd-videos/attention_capture/DHF1K/video/081.AVI,842,842,,,,,0.0006740059639089973,low,data/attention_capture/DHF1K/video/081.AVI,True,5618108
dhf1k_083,083,train,/bmd-videos/attention_capture/DHF1K/video/083.AVI,934,934,,,,,0.0008221712909196155,high,data/attention_capture/DHF1K/video/083.AVI,True,6671222
dhf1k_084,084,train,/bmd-videos/attention_capture/DHF1K/video/084.AVI,476,476,,,,,0.0006787702075889072,low,data/attention_capture/DHF1K/video/084.AVI,True,3236428
dhf1k_086,086,train,/bmd-videos/attention_capture/DHF1K/video/086.AVI,535,535,,,,,0.0006491595281344604,low,data/attention_capture/DHF1K/video/086.AVI,True,3862894
dhf1k_087,087,train,/bmd-videos/attention_capture/DHF1K/video/087.AVI,292,292,,,,,0.0007931708970405353,high,data/attention_capture/DHF1K/video/087.AVI,True,2316426
dhf1k_088,088,train,/bmd-videos/attention_capture/DHF1K/video/088.AVI,399,399,,,,,0.0008486276465487949,high,data/attention_capture/DHF1K/video/088.AVI,True,2038566
dhf1k_089,089,train,/bmd-videos/attention_capture/DHF1K/video/089.AVI,591,591,,,,,0.0008435340881089218,high,data/attention_capture/DHF1K/video/089.AVI,True,4373586
dhf1k_091,091,train,/bmd-videos/attention_capture/DHF1K/video/091.AVI,361,361,,,,,0.000805993188737564,high,data/attention_capture/DHF1K/video/091.AVI,True,2655430
dhf1k_094,094,train,/bmd-videos/attention_capture/DHF1K/video/094.AVI,578,578,,,,,0.000662815983443554,low,data/attention_capture/DHF1K/video/094.AVI,True,3889188
dhf1k_097,097,train,/bmd-videos/attention_capture/DHF1K/video/097.AVI,639,639,,,,,0.0008231313035927978,high,data/attention_capture/DHF1K/video/097.AVI,True,4674696
dhf1k_098,098,train,/bmd-videos/attention_capture/DHF1K/video/098.AVI,501,501,,,,,0.0007947386470632608,high,data/attention_capture/DHF1K/video/098.AVI,True,3483414
dhf1k_099,099,train,/bmd-videos/attention_capture/DHF1K/video/099.AVI,693,693,,,,,0.0008056131750530017,high,data/attention_capture/DHF1K/video/099.AVI,True,5009460
dhf1k_100,100,train,/bmd-videos/attention_capture/DHF1K/video/100.AVI,318,318,,,,,0.0008454260597724479,high,data/attention_capture/DHF1K/video/100.AVI,True,2291330
dhf1k_105,105,train,/bmd-videos/attention_capture/DHF1K/video/105.AVI,613,613,,,,,0.000678676419710432,low,data/attention_capture/DHF1K/video/105.AVI,True,3169462
dhf1k_106,106,train,/bmd-videos/attention_capture/DHF1K/video/106.AVI,398,398,,,,,0.0006780429941326515,low,data/attention_capture/DHF1K/video/106.AVI,True,2503888
dhf1k_110,110,train,/bmd-videos/attention_capture/DHF1K/video/110.AVI,841,841,,,,,0.0008190326074550236,high,data/attention_capture/DHF1K/video/110.AVI,True,5891008
dhf1k_111,111,train,/bmd-videos/attention_capture/DHF1K/video/111.AVI,521,521,,,,,0.0006781080067930868,low,data/attention_capture/DHF1K/video/111.AVI,True,3976040
dhf1k_116,116,train,/bmd-videos/attention_capture/DHF1K/video/116.AVI,1007,1007,,,,,0.0008314024055743813,high,data/attention_capture/DHF1K/video/116.AVI,True,7184418
dhf1k_118,118,train,/bmd-videos/attention_capture/DHF1K/video/118.AVI,261,261,,,,,0.0008441923421243798,high,data/attention_capture/DHF1K/video/118.AVI,True,1982504
dhf1k_119,119,train,/bmd-videos/attention_capture/DHF1K/video/119.AVI,448,448,,,,,0.0008036876847654639,high,data/attention_capture/DHF1K/video/119.AVI,True,3081162
dhf1k_121,121,train,/bmd-videos/attention_capture/DHF1K/video/121.AVI,866,866,,,,,0.000802796020977227,high,data/attention_capture/DHF1K/video/121.AVI,True,6176972
dhf1k_122,122,train,/bmd-videos/attention_capture/DHF1K/video/122.AVI,893,893,,,,,0.0006706336710044346,low,data/attention_capture/DHF1K/video/122.AVI,True,6056466
dhf1k_123,123,train,/bmd-videos/attention_capture/DHF1K/video/123.AVI,483,483,,,,,0.0008325155994466334,high,data/attention_capture/DHF1K/video/123.AVI,True,3308988
dhf1k_124,124,train,/bmd-videos/attention_capture/DHF1K/video/124.AVI,1048,1048,,,,,0.0006863395555860421,low,data/attention_capture/DHF1K/video/124.AVI,True,7321038
dhf1k_125,125,train,/bmd-videos/attention_capture/DHF1K/video/125.AVI,847,847,,,,,0.0008272405474231201,high,data/attention_capture/DHF1K/video/125.AVI,True,5552434
dhf1k_126,126,train,/bmd-videos/attention_capture/DHF1K/video/126.AVI,676,676,,,,,0.0008591888053962664,high,data/attention_capture/DHF1K/video/126.AVI,True,4733334
dhf1k_127,127,train,/bmd-videos/attention_capture/DHF1K/video/127.AVI,269,269,,,,,0.0008286703586773981,high,data/attention_capture/DHF1K/video/127.AVI,True,2092210
dhf1k_128,128,train,/bmd-videos/attention_capture/DHF1K/video/128.AVI,436,436,,,,,0.000640489616262547,low,data/attention_capture/DHF1K/video/128.AVI,True,3145378
dhf1k_129,129,train,/bmd-videos/attention_capture/DHF1K/video/129.AVI,232,232,,,,,0.0006799643794285407,low,data/attention_capture/DHF1K/video/129.AVI,True,2047900
dhf1k_132,132,train,/bmd-videos/attention_capture/DHF1K/video/132.AVI,540,540,,,,,0.0006360998597907989,low,data/attention_capture/DHF1K/video/132.AVI,True,3689672
dhf1k_133,133,train,/bmd-videos/attention_capture/DHF1K/video/133.AVI,553,553,,,,,0.0005910155465165372,low,data/attention_capture/DHF1K/video/133.AVI,True,4105526
dhf1k_135,135,train,/bmd-videos/attention_capture/DHF1K/video/135.AVI,525,525,,,,,0.0006899057555433718,low,data/attention_capture/DHF1K/video/135.AVI,True,3838018
dhf1k_138,138,train,/bmd-videos/attention_capture/DHF1K/video/138.AVI,602,602,,,,,0.0008390795160433048,high,data/attention_capture/DHF1K/video/138.AVI,True,4596764
dhf1k_139,139,train,/bmd-videos/attention_capture/DHF1K/video/139.AVI,315,315,,,,,0.0006762566138243687,low,data/attention_capture/DHF1K/video/139.AVI,True,2397674
dhf1k_140,140,train,/bmd-videos/attention_capture/DHF1K/video/140.AVI,867,867,,,,,0.000797069236500411,high,data/attention_capture/DHF1K/video/140.AVI,True,6100644
dhf1k_141,141,train,/bmd-videos/attention_capture/DHF1K/video/141.AVI,723,723,,,,,0.0006723408454035333,low,data/attention_capture/DHF1K/video/141.AVI,True,4651526
dhf1k_142,142,train,/bmd-videos/attention_capture/DHF1K/video/142.AVI,590,590,,,,,0.0006556394191308862,low,data/attention_capture/DHF1K/video/142.AVI,True,4256728
dhf1k_143,143,train,/bmd-videos/attention_capture/DHF1K/video/143.AVI,471,471,,,,,0.0006408867060843037,low,data/attention_capture/DHF1K/video/143.AVI,True,3396608
dhf1k_144,144,train,/bmd-videos/attention_capture/DHF1K/video/144.AVI,631,631,,,,,0.0008218119933514187,high,data/attention_capture/DHF1K/video/144.AVI,True,4732864
dhf1k_145,145,train,/bmd-videos/attention_capture/DHF1K/video/145.AVI,736,736,,,,,0.0008601416267755785,high,data/attention_capture/DHF1K/video/145.AVI,True,4848238
dhf1k_146,146,train,/bmd-videos/attention_capture/DHF1K/video/146.AVI,781,781,,,,,0.0006239552216340666,low,data/attention_capture/DHF1K/video/146.AVI,True,5143972
dhf1k_148,148,train,/bmd-videos/attention_capture/DHF1K/video/148.AVI,641,641,,,,,0.0008153966791014653,high,data/attention_capture/DHF1K/video/148.AVI,True,4547892
dhf1k_150,150,train,/bmd-videos/attention_capture/DHF1K/video/150.AVI,357,357,,,,,0.0008649310417974196,high,data/attention_capture/DHF1K/video/150.AVI,True,2525366
dhf1k_151,151,train,/bmd-videos/attention_capture/DHF1K/video/151.AVI,742,742,,,,,0.0006524162838246715,low,data/attention_capture/DHF1K/video/151.AVI,True,5336700
dhf1k_153,153,train,/bmd-videos/attention_capture/DHF1K/video/153.AVI,914,914,,,,,0.000628632728567783,low,data/attention_capture/DHF1K/video/153.AVI,True,6357912
dhf1k_154,154,train,/bmd-videos/attention_capture/DHF1K/video/154.AVI,1099,1099,,,,,0.0006172751742994559,low,data/attention_capture/DHF1K/video/154.AVI,True,7620824
dhf1k_155,155,train,/bmd-videos/attention_capture/DHF1K/video/155.AVI,472,472,,,,,0.0008846442443905674,high,data/attention_capture/DHF1K/video/155.AVI,True,3646542
dhf1k_157,157,train,/bmd-videos/attention_capture/DHF1K/video/157.AVI,526,526,,,,,0.0006869933601139475,low,data/attention_capture/DHF1K/video/157.AVI,True,3663824
dhf1k_159,159,train,/bmd-videos/attention_capture/DHF1K/video/159.AVI,583,583,,,,,0.0005742046057466676,low,data/attention_capture/DHF1K/video/159.AVI,True,4197536
dhf1k_160,160,train,/bmd-videos/attention_capture/DHF1K/video/160.AVI,822,822,,,,,0.0008034371623487287,high,data/attention_capture/DHF1K/video/160.AVI,True,5910688
dhf1k_162,162,train,/bmd-videos/attention_capture/DHF1K/video/162.AVI,616,616,,,,,0.0008557252220672633,high,data/attention_capture/DHF1K/video/162.AVI,True,4590494
dhf1k_163,163,train,/bmd-videos/attention_capture/DHF1K/video/163.AVI,796,796,,,,,0.0008325536092439077,high,data/attention_capture/DHF1K/video/163.AVI,True,5706856
dhf1k_165,165,train,/bmd-videos/attention_capture/DHF1K/video/165.AVI,463,463,,,,,0.0006775426720852358,low,data/attention_capture/DHF1K/video/165.AVI,True,3512438
dhf1k_169,169,train,/bmd-videos/attention_capture/DHF1K/video/169.AVI,771,771,,,,,0.000807302925450638,high,data/attention_capture/DHF1K/video/169.AVI,True,5517160
dhf1k_171,171,train,/bmd-videos/attention_capture/DHF1K/video/171.AVI,658,658,,,,,0.0006394522011998013,low,data/attention_capture/DHF1K/video/171.AVI,True,4906782
dhf1k_172,172,train,/bmd-videos/attention_capture/DHF1K/video/172.AVI,897,897,,,,,0.0008342817112853556,high,data/attention_capture/DHF1K/video/172.AVI,True,6240814
dhf1k_174,174,train,/bmd-videos/attention_capture/DHF1K/video/174.AVI,414,414,,,,,0.0008045973390220453,high,data/attention_capture/DHF1K/video/174.AVI,True,3284298
dhf1k_175,175,train,/bmd-videos/attention_capture/DHF1K/video/175.AVI,810,810,,,,,0.0005955932790343074,low,data/attention_capture/DHF1K/video/175.AVI,True,5719368
dhf1k_177,177,train,/bmd-videos/attention_capture/DHF1K/video/177.AVI,875,875,,,,,0.0006780704372462684,low,data/attention_capture/DHF1K/video/177.AVI,True,6145326
dhf1k_180,180,train,/bmd-videos/attention_capture/DHF1K/video/180.AVI,741,741,,,,,0.0006960142082874078,low,data/attention_capture/DHF1K/video/180.AVI,True,5098618
dhf1k_182,182,train,/bmd-videos/attention_capture/DHF1K/video/182.AVI,729,729,,,,,0.0008350539634250799,high,data/attention_capture/DHF1K/video/182.AVI,True,5066782
dhf1k_183,183,train,/bmd-videos/attention_capture/DHF1K/video/183.AVI,478,478,,,,,0.0006489350901167473,low,data/attention_capture/DHF1K/video/183.AVI,True,3353616
dhf1k_185,185,train,/bmd-videos/attention_capture/DHF1K/video/185.AVI,548,548,,,,,0.0007967023393177482,high,data/attention_capture/DHF1K/video/185.AVI,True,4069316
dhf1k_187,187,train,/bmd-videos/attention_capture/DHF1K/video/187.AVI,559,559,,,,,0.0006519035109940334,low,data/attention_capture/DHF1K/video/187.AVI,True,4076654
dhf1k_189,189,train,/bmd-videos/attention_capture/DHF1K/video/189.AVI,434,434,,,,,0.0006880040331754387,low,data/attention_capture/DHF1K/video/189.AVI,True,3034150
dhf1k_196,196,train,/bmd-videos/attention_capture/DHF1K/video/196.AVI,347,347,,,,,0.0008284051795067368,high,data/attention_capture/DHF1K/video/196.AVI,True,2547838
dhf1k_200,200,train,/bmd-videos/attention_capture/DHF1K/video/200.AVI,593,593,,,,,0.0006719672235559742,low,data/attention_capture/DHF1K/video/200.AVI,True,4465742
dhf1k_201,201,train,/bmd-videos/attention_capture/DHF1K/video/201.AVI,475,475,,,,,0.0008131304823205267,high,data/attention_capture/DHF1K/video/201.AVI,True,3575652
dhf1k_203,203,train,/bmd-videos/attention_capture/DHF1K/video/203.AVI,589,589,,,,,0.000816628054910575,high,data/attention_capture/DHF1K/video/203.AVI,True,4349738
dhf1k_206,206,train,/bmd-videos/attention_capture/DHF1K/video/206.AVI,271,271,,,,,0.000850117877701373,high,data/attention_capture/DHF1K/video/206.AVI,True,2082044
dhf1k_214,214,train,/bmd-videos/attention_capture/DHF1K/video/214.AVI,630,630,,,,,0.0006576071980008338,low,data/attention_capture/DHF1K/video/214.AVI,True,4683930
dhf1k_215,215,train,/bmd-videos/attention_capture/DHF1K/video/215.AVI,336,336,,,,,0.0008877159818352777,high,data/attention_capture/DHF1K/video/215.AVI,True,2510252
dhf1k_216,216,train,/bmd-videos/attention_capture/DHF1K/video/216.AVI,903,903,,,,,0.0008567794861559728,high,data/attention_capture/DHF1K/video/216.AVI,True,6239716
dhf1k_219,219,train,/bmd-videos/attention_capture/DHF1K/video/219.AVI,583,583,,,,,0.0006518010300411212,low,data/attention_capture/DHF1K/video/219.AVI,True,3946456
dhf1k_220,220,train,/bmd-videos/attention_capture/DHF1K/video/220.AVI,307,307,,,,,0.0008083661327651226,high,data/attention_capture/DHF1K/video/220.AVI,True,2364854
dhf1k_222,222,train,/bmd-videos/attention_capture/DHF1K/video/222.AVI,326,326,,,,,0.0008058271547058094,high,data/attention_capture/DHF1K/video/222.AVI,True,2421046
dhf1k_223,223,train,/bmd-videos/attention_capture/DHF1K/video/223.AVI,289,289,,,,,0.0006298959530093611,low,data/attention_capture/DHF1K/video/223.AVI,True,2042098
dhf1k_227,227,train,/bmd-videos/attention_capture/DHF1K/video/227.AVI,448,448,,,,,0.0009136284746611116,high,data/attention_capture/DHF1K/video/227.AVI,True,3309342
dhf1k_230,230,train,/bmd-videos/attention_capture/DHF1K/video/230.AVI,872,872,,,,,0.0008025332891695744,high,data/attention_capture/DHF1K/video/230.AVI,True,6028094
dhf1k_232,232,train,/bmd-videos/attention_capture/DHF1K/video/232.AVI,443,443,,,,,0.0008125725014631386,high,data/attention_capture/DHF1K/video/232.AVI,True,3241078
dhf1k_233,233,train,/bmd-videos/attention_capture/DHF1K/video/233.AVI,577,577,,,,,0.0006933236458394079,low,data/attention_capture/DHF1K/video/233.AVI,True,4321800
dhf1k_234,234,train,/bmd-videos/attention_capture/DHF1K/video/234.AVI,218,218,,,,,0.0006678054932133218,low,data/attention_capture/DHF1K/video/234.AVI,True,1588124
dhf1k_238,238,train,/bmd-videos/attention_capture/DHF1K/video/238.AVI,849,849,,,,,0.0008049093718403013,high,data/attention_capture/DHF1K/video/238.AVI,True,5843786
dhf1k_241,241,train,/bmd-videos/attention_capture/DHF1K/video/241.AVI,400,400,,,,,0.0008510091167408973,high,data/attention_capture/DHF1K/video/241.AVI,True,2858488
dhf1k_242,242,train,/bmd-videos/attention_capture/DHF1K/video/242.AVI,590,590,,,,,0.0006925170660567454,low,data/attention_capture/DHF1K/video/242.AVI,True,4321184
dhf1k_243,243,train,/bmd-videos/attention_capture/DHF1K/video/243.AVI,863,863,,,,,0.000567329125726398,low,data/attention_capture/DHF1K/video/243.AVI,True,6121920
dhf1k_245,245,train,/bmd-videos/attention_capture/DHF1K/video/245.AVI,607,607,,,,,0.0008090077564486608,high,data/attention_capture/DHF1K/video/245.AVI,True,4319466
dhf1k_246,246,train,/bmd-videos/attention_capture/DHF1K/video/246.AVI,366,366,,,,,0.0006787316910486765,low,data/attention_capture/DHF1K/video/246.AVI,True,2733254
dhf1k_247,247,train,/bmd-videos/attention_capture/DHF1K/video/247.AVI,553,553,,,,,0.0006699332563525695,low,data/attention_capture/DHF1K/video/247.AVI,True,4125266
dhf1k_249,249,train,/bmd-videos/attention_capture/DHF1K/video/249.AVI,292,292,,,,,0.0006559765047002233,low,data/attention_capture/DHF1K/video/249.AVI,True,1256004
dhf1k_251,251,train,/bmd-videos/attention_capture/DHF1K/video/251.AVI,774,774,,,,,0.0006760683589431732,low,data/attention_capture/DHF1K/video/251.AVI,True,5456452
dhf1k_254,254,train,/bmd-videos/attention_capture/DHF1K/video/254.AVI,504,504,,,,,0.0005603780870394927,low,data/attention_capture/DHF1K/video/254.AVI,True,3342710
dhf1k_259,259,train,/bmd-videos/attention_capture/DHF1K/video/259.AVI,392,392,,,,,0.000858312076681094,high,data/attention_capture/DHF1K/video/259.AVI,True,3023662
dhf1k_262,262,train,/bmd-videos/attention_capture/DHF1K/video/262.AVI,583,583,,,,,0.0006793018634809764,low,data/attention_capture/DHF1K/video/262.AVI,True,2740784
dhf1k_266,266,train,/bmd-videos/attention_capture/DHF1K/video/266.AVI,626,626,,,,,0.0006733878568707841,low,data/attention_capture/DHF1K/video/266.AVI,True,4539140
dhf1k_269,269,train,/bmd-videos/attention_capture/DHF1K/video/269.AVI,790,790,,,,,0.0008081816987479341,high,data/attention_capture/DHF1K/video/269.AVI,True,5603746
dhf1k_270,270,train,/bmd-videos/attention_capture/DHF1K/video/270.AVI,544,544,,,,,0.0008522103499832584,high,data/attention_capture/DHF1K/video/270.AVI,True,3842128
dhf1k_272,272,train,/bmd-videos/attention_capture/DHF1K/video/272.AVI,528,528,,,,,0.0006403718179254528,low,data/attention_capture/DHF1K/video/272.AVI,True,3645040
dhf1k_273,273,train,/bmd-videos/attention_capture/DHF1K/video/273.AVI,449,449,,,,,0.0006021676273913567,low,data/attention_capture/DHF1K/video/273.AVI,True,3343240
dhf1k_274,274,train,/bmd-videos/attention_capture/DHF1K/video/274.AVI,492,492,,,,,0.0008434694701885214,high,data/attention_capture/DHF1K/video/274.AVI,True,3606388
dhf1k_275,275,train,/bmd-videos/attention_capture/DHF1K/video/275.AVI,595,595,,,,,0.0008485790174317491,high,data/attention_capture/DHF1K/video/275.AVI,True,4430330
dhf1k_277,277,train,/bmd-videos/attention_capture/DHF1K/video/277.AVI,775,775,,,,,0.0006593469985302598,low,data/attention_capture/DHF1K/video/277.AVI,True,5579240
dhf1k_279,279,train,/bmd-videos/attention_capture/DHF1K/video/279.AVI,538,538,,,,,0.0008033466924931404,high,data/attention_capture/DHF1K/video/279.AVI,True,3702314
dhf1k_285,285,train,/bmd-videos/attention_capture/DHF1K/video/285.AVI,897,897,,,,,0.0008574346980921521,high,data/attention_capture/DHF1K/video/285.AVI,True,6286024
dhf1k_287,287,train,/bmd-videos/attention_capture/DHF1K/video/287.AVI,486,486,,,,,0.0008301183140842405,high,data/attention_capture/DHF1K/video/287.AVI,True,3562992
dhf1k_289,289,train,/bmd-videos/attention_capture/DHF1K/video/289.AVI,549,549,,,,,0.0006272215264960055,low,data/attention_capture/DHF1K/video/289.AVI,True,3817604
dhf1k_290,290,train,/bmd-videos/attention_capture/DHF1K/video/290.AVI,635,635,,,,,0.0005976323271170258,low,data/attention_capture/DHF1K/video/290.AVI,True,4538294
dhf1k_291,291,train,/bmd-videos/attention_capture/DHF1K/video/291.AVI,522,522,,,,,0.000805711872745002,high,data/attention_capture/DHF1K/video/291.AVI,True,3734098
dhf1k_293,293,train,/bmd-videos/attention_capture/DHF1K/video/293.AVI,363,363,,,,,0.000687856309620353,low,data/attention_capture/DHF1K/video/293.AVI,True,2637560
dhf1k_295,295,train,/bmd-videos/attention_capture/DHF1K/video/295.AVI,203,203,,,,,0.0008609144064698717,high,data/attention_capture/DHF1K/video/295.AVI,True,1495434
dhf1k_299,299,train,/bmd-videos/attention_capture/DHF1K/video/299.AVI,496,496,,,,,0.0006489065303427314,low,data/attention_capture/DHF1K/video/299.AVI,True,3827796
dhf1k_300,300,train,/bmd-videos/attention_capture/DHF1K/video/300.AVI,217,217,,,,,0.0006745031689189606,low,data/attention_capture/DHF1K/video/300.AVI,True,1626296
dhf1k_301,301,train,/bmd-videos/attention_capture/DHF1K/video/301.AVI,480,480,,,,,0.0008169849554784984,high,data/attention_capture/DHF1K/video/301.AVI,True,3456028
dhf1k_303,303,train,/bmd-videos/attention_capture/DHF1K/video/303.AVI,598,598,,,,,0.0008142738520610847,high,data/attention_capture/DHF1K/video/303.AVI,True,4372986
dhf1k_308,308,train,/bmd-videos/attention_capture/DHF1K/video/308.AVI,581,581,,,,,0.0006911425478896687,low,data/attention_capture/DHF1K/video/308.AVI,True,4049814
dhf1k_310,310,train,/bmd-videos/attention_capture/DHF1K/video/310.AVI,524,524,,,,,0.0006758740188952497,low,data/attention_capture/DHF1K/video/310.AVI,True,4021910
dhf1k_313,313,train,/bmd-videos/attention_capture/DHF1K/video/313.AVI,959,959,,,,,0.0008597596953887633,high,data/attention_capture/DHF1K/video/313.AVI,True,6737482
